league_title,league_number,round_name,round_description,round_number
BOS BOPS,1,Earworms,Songs you can't get out of your head.,1
BOS BOPS,1,Disney,Give us those movie tunes!,2
BOS BOPS,1,Fall,Songs that make you think of fall.,3
BOS BOPS,1,Unromantic,Songs to avoid at a wedding.,4
BOS BOPS,1,Pump Me Up,Great songs for a workout playlist.,5
BOS BOPS,1,Covers,Songs previously recorded by another artist. ,6
BOS BOPS,1,Holiday Szn,Favorite winter holiday song! ðŸŽ… ðŸ•Ž ðŸŒ² ðŸ¥¶,7
BOS BOPS,1,Awesome Obscurity,Songs that aren't well-known but should be.,8
BOS BOPS,1,"Thanks, Mom and Dad",Songs that your parents listened to when you were a kid that you now love.,9
BOS BOPS,1,Can I Have A Word?,Songs with one word titles.,10
BOS BOPS,1,Location,Songs that references a place in the title.,11